feature,group,importance_mean,importance_std
desvio-padrão,Temporal,0.05552339604438008,0.005047634799245555
média,Temporal,0.028195851423058325,0.004880815065179456
LFCC20 (média),LFCC,0.015291847563916987,0.0035435345243042815
mínimo,Temporal,0.011963338157259957,0.0031581065708312338
máximo,Temporal,0.01013024602026044,0.004110257289752199
percentil 50,Temporal,0.007983598649300483,0.0030037418139019496
LFCC7 (média),LFCC,0.006319343945971982,0.001617274926603003
LFCC4 (média),LFCC,0.005065123010130197,0.0013342321935300857
MFCC4 (média),MFCC,0.004896285576459188,0.0019206559625295162
LFCC12 (média),LFCC,0.004823926676314475,0.002926338811018452
LFCC13 (média),LFCC,0.004438012542209309,0.002293775866467666
MFCC6 (média),MFCC,0.003786782440906851,0.001068094058151678
ΔΔLFCC4 (desvio),LFCC,0.0037144235407621353,0.00229377586646768
MFCC11 (média),MFCC,0.003690303907380554,0.0021655347781261588
LFCC5 (média),LFCC,0.0036179450072358565,0.0020636034381290376
ΔLFCC8 (desvio),LFCC,0.0033285094066569767,0.0023676586959590954
LFCC8 (desvio),LFCC,0.0032561505065122637,0.0017699604253697367
LFCC2 (desvio),LFCC,0.0032079112397491133,0.0016145748163221899
LFCC3 (média),LFCC,0.002821997105643944,0.0017056861754208602
LFCC19 (desvio),LFCC,0.0026531596719729378,0.002804523271345612
LFCC17 (média),LFCC,0.002580800771828218,0.0015141674978986464
RASTA-PLP1 (desvio),RASTA-PLP,0.0025325615050650896,0.0022322065897587753
RASTA-PLP8 (desvio),RASTA-PLP,0.0022672455378677865,0.0011323390829045454
ΔLFCC6 (desvio),LFCC,0.0020260492040520494,0.0012308104990036849
MFCC2 (média),MFCC,0.0018572117703810362,0.0009650867835862434
LFCC6 (média),LFCC,0.0018330921369994813,0.0014797743994383052
ΔΔLFCC3 (desvio),LFCC,0.0018089725036179005,0.0011013458810256666
ΔLFCC5 (desvio),LFCC,0.001760733236854754,0.0011002889269616193
LFCC9 (média),LFCC,0.0016883743367100339,0.0012155912366960174
LFCC5 (desvio),LFCC,0.0016160154365653138,0.0011315681722855692
LFCC2 (média),LFCC,0.0015677761698021672,0.0009357050044028476
ΔLFCC1 (média),LFCC,0.0015436565364205864,0.0008299397266804458
LFCC1 (desvio),LFCC,0.0013748191027495953,0.0014752463756269138
LFCC14 (média),LFCC,0.001374819102749588,0.0014633681921965799
ΔΔLFCC5 (desvio),LFCC,0.001374819102749584,0.001062633418809014
ΔΔLFCC8 (desvio),LFCC,0.001350699469368018,0.0018564285002309606
MFCC4 (desvio),MFCC,0.00132657983598643,0.000621987311057776
MFCC3 (média),MFCC,0.0012542209358417397,0.0012662233235317553
percentil 25,Temporal,0.0012542209358417284,0.0013972743230062832
MFCC10 (desvio),MFCC,0.0012301013024601478,0.0009369476410783863
ΔLFCC9 (desvio),LFCC,0.0012059816690785819,0.0010623596500504173
ΔLFCC3 (desvio),LFCC,0.001085383502170719,0.0010691828393295418
RASTA-PLP9 (desvio),RASTA-PLP,0.0010612638687891418,0.0011323390829045359
LFCC9 (desvio),LFCC,0.001061263868789138,0.0007642537152800147
RASTA-PLP10 (desvio),RASTA-PLP,0.0010130246020259952,0.001315791770090292
ΔΔLFCC7 (desvio),LFCC,0.0008924264351181469,0.0016145748163221927
LFCC16 (média),LFCC,0.0008924264351181395,0.0016572487589292624
ΔLFCC3 (média),LFCC,0.0008924264351181173,0.0005813782341145081
LFCC18 (desvio),LFCC,0.0008441871683550002,0.0009168633771706652
MFCC7 (desvio),MFCC,0.0008441871683549929,0.0007492631243130091
MFCC5 (média),MFCC,0.0008441871683549855,0.0008578591048614835
ΔΔLFCC15 (média),LFCC,0.0008441871683549818,0.0006219873110577565
ΔLFCC2 (média),LFCC,0.000844187168354978,0.0005932645381692461
ΔLFCC14 (desvio),LFCC,0.0008200675349734233,0.001479774399438291
ΔΔLFCC16 (desvio),LFCC,0.0008200675349734121,0.0007171282560211376
ΔΔLFCC13 (média),LFCC,0.0007959479015918425,0.0008218391238495162
RASTA-PLP6 (desvio),RASTA-PLP,0.0007959479015918388,0.0006826324987016182
MFCC9 (média),MFCC,0.0007718282682102766,0.001238349990640942
RASTA-PLP2 (média),RASTA-PLP,0.0007718282682102617,0.0005888352926065257
ΔLFCC13 (média),LFCC,0.0007718282682102544,0.0004919459250933564
RASTA-PLP4 (média),RASTA-PLP,0.0007477086348286958,0.0006049173277368057
ΔΔLFCC12 (desvio),LFCC,0.0007477086348286958,0.0008659586623741439
ΔΔLFCC19 (desvio),LFCC,0.0007235890014471336,0.001628745105271025
RASTA-PLP5 (desvio),RASTA-PLP,0.0006994693680655528,0.0008032236278507645
MFCC12 (média),MFCC,0.0006994693680655528,0.0018256188586749985
RASTA-PLP10 (média),RASTA-PLP,0.000699469368065538,0.0004757135292647195
ΔLFCC15 (média),LFCC,0.0006753497346839721,0.0006177640364141457
ΔΔLFCC11 (média),LFCC,0.0006753497346839647,0.0004149698633401902
ΔLFCC10 (média),LFCC,0.0006271104679208106,0.0002459729625466551
LFCC17 (desvio),LFCC,0.0005788712011576973,0.0007331733793328601
ΔLFCC7 (média),LFCC,0.0005788712011576973,0.0008842403656451014
ΔΔLFCC20 (média),LFCC,0.0005788712011576787,0.0004726463565427951
ΔLFCC9 (média),LFCC,0.0005547515677761202,0.0005178704909209496
ΔLFCC12 (média),LFCC,0.0005547515677761017,0.000306043838409261
ΔΔLFCC8 (média),LFCC,0.0005306319343945505,0.0005262282737402336
RASTA-PLP11 (desvio),RASTA-PLP,0.0005306319343945431,0.0011806308008220302
ΔLFCC11 (média),LFCC,0.0005065123010129698,0.000499573448557807
MFCC9 (desvio),MFCC,0.0005065123010129698,0.000955393261955526
ΔΔLFCC9 (desvio),LFCC,0.0004582730342498379,0.0008659586623741372
ΔLFCC16 (desvio),LFCC,0.00045827303424983055,0.0005441637324012485
RASTA-PLP2 (desvio),RASTA-PLP,0.0004341534008682609,0.0009452927130856278
LFCC18 (média),LFCC,0.00038591413410512534,0.001749962098139608
LFCC20 (desvio),LFCC,0.0003859141341051216,0.0006666799305877818
ΔΔLFCC1 (média),LFCC,0.0003859141341051142,0.0004473525564638176
ΔΔLFCC12 (média),LFCC,0.000361794500723552,0.0006671160967650168
MFCC3 (desvio),MFCC,0.0003617945007235409,0.0008911217174100693
